Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
46,2.0,0.0,0.0,601.0,14.0,24.0,2059.0,0.0,24.406000000000013,0.0,0.0,226.62821054458618,,,,,,,,,,,,,,,,,,,,,2.852958276470799,2.046167623761092,5.521000584871777,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,647.0,15.0,46.0,2105.0,0.0,46.209,0.0,0.0,230.04373168945312,,,,,,,,,,,,,,,,,,,,,3.0326108117874893,1.9585027869024292,6.227101139046662,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3.0,0.0,0.0,0.0,0.0,63.0,2168.0,0.0,72.20900000000003,0.0,0.0,268.9319248199463,,,,,,,,,0.25182846,0.091784,0.43254766,0.13605203,,,,,7.2567005,4.9617496,26.105314,1.2680429,3.6112843566615016,1.8653255833894462,6.328646236436217,0.001,2.066101,0.0,2.066101,2.066101,-2.001528833127043e-17,1.0,4.8700837916929025,-2.314234866693937,3.1074963,1.7964597,5.742292,0.24051276,0.3208286,0.070150256,0.45921287,0.23873705,-0.048290253,0.023009641,-0.005842088,-0.08202401,3.135761124527525,2.170210406321179,6.3127408021456155,0.0010000000000000009,0.038949873,0.0,0.038949873,0.038949873,1.006193,0.24277478,2.4661894,0.15247953,0.99847203,0.15668121,1.2,0.8
49,3.0,0.0,0.0,72.0,1.0,72.0,2240.0,0.0,62.12599999999996,0.0,0.0,278.9990177154541,,,,,,,,,,,,,,,,,,,,,2.679829443576782,2.138067316200851,6.086750761066893,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3.0,0.0,0.0,102.0,2.0,30.0,2270.0,0.0,33.00799999999999,0.0,0.0,281.37734508514404,,,,,,,,,,,,,,,,,,,,,3.2420916755504328,2.3606138842556685,6.3402147068491495,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3.0,0.0,0.0,142.0,3.0,40.0,2310.0,0.0,54.80699999999999,0.0,0.0,284.40171337127686,,,,,,,,,,,,,,,,,,,,,4.223738965215427,2.3992338299678027,6.476515706100135,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3.0,0.0,0.0,167.0,4.0,25.0,2335.0,0.0,24.607000000000017,0.0,0.0,286.458518743515,,,,,,,,,,,,,,,,,,,,,2.723934781448831,2.328948442325289,6.382630896191362,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,3.0,0.0,0.0,199.0,5.0,32.0,2367.0,0.0,33.20899999999999,0.0,0.0,288.9142122268677,,,,,,,,,,,,,,,,,,,,,3.01729969632628,2.3976771016248604,6.516169214832054,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3.0,0.0,0.0,273.0,6.0,74.0,2441.0,0.0,87.404,0.0,0.0,294.17801213264465,,,,,,,,,,,,,,,,,,,,,3.756211505359049,1.6728869282575851,6.613045641870163,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3.0,0.0,0.0,344.0,7.0,71.0,2512.0,0.0,90.007,0.0,0.0,299.5520441532135,,,,,,,,,,,,,,,,,,,,,4.040439810058449,1.6839975262398548,6.20829192474156,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
